Year,Crop,Yield_kg_per_ha
1985,"Pepper (Piper spp.), raw                                                                                                        ",166.5
1986,"Pepper (Piper spp.), raw                                                                                                        ",271.8
1987,"Pepper (Piper spp.), raw                                                                                                        ",236.0
1988,"Pepper (Piper spp.), raw                                                                                                        ",320.7
1989,"Pepper (Piper spp.), raw                                                                                                        ",274.7
1990,"Pepper (Piper spp.), raw                                                                                                        ",321.8
1991,"Pepper (Piper spp.), raw                                                                                                        ",276.5
1992,"Pepper (Piper spp.), raw                                                                                                        ",282.4
1993,"Pepper (Piper spp.), raw                                                                                                        ",268.0
1994,"Pepper (Piper spp.), raw                                                                                                        ",268.6
1995,"Pepper (Piper spp.), raw                                                                                                        ",314.0
1996,"Pepper (Piper spp.), raw                                                                                                        ",310.9
1997,"Pepper (Piper spp.), raw                                                                                                        ",311.1
1998,"Pepper (Piper spp.), raw                                                                                                        ",313.2
1999,"Pepper (Piper spp.), raw                                                                                                        ",316.7
2000,"Pepper (Piper spp.), raw                                                                                                        ",301.0
2001,"Pepper (Piper spp.), raw                                                                                                        ",299.1
2002,"Pepper (Piper spp.), raw                                                                                                        ",283.1
2003,"Pepper (Piper spp.), raw                                                                                                        ",296.3
2004,"Pepper (Piper spp.), raw                                                                                                        ",313.6
2005,"Pepper (Piper spp.), raw                                                                                                        ",319.8
2006,"Pepper (Piper spp.), raw                                                                                                        ",357.0
2007,"Pepper (Piper spp.), raw                                                                                                        ",280.5
2008,"Pepper (Piper spp.), raw                                                                                                        ",238.2
2009,"Pepper (Piper spp.), raw                                                                                                        ",198.6
2010,"Pepper (Piper spp.), raw                                                                                                        ",260.4
2011,"Pepper (Piper spp.), raw                                                                                                        ",282.6
2012,"Pepper (Piper spp.), raw                                                                                                        ",205.0
2013,"Pepper (Piper spp.), raw                                                                                                        ",424.0
2014,"Pepper (Piper spp.), raw                                                                                                        ",411.3
2015,"Pepper (Piper spp.), raw                                                                                                        ",503.9
2016,"Pepper (Piper spp.), raw                                                                                                        ",426.4
2017,"Pepper (Piper spp.), raw                                                                                                        ",545.5
2018,"Pepper (Piper spp.), raw                                                                                                        ",492.5
2019,"Pepper (Piper spp.), raw                                                                                                        ",478.3
2020,"Pepper (Piper spp.), raw                                                                                                        ",481.8
2021,"Pepper (Piper spp.), raw                                                                                                        ",484.6
2022,"Pepper (Piper spp.), raw                                                                                                        ",501.9
2023,"Pepper (Piper spp.), raw                                                                                                        ",519.0
1961,"Pigeon peas, dry                                                                                                                ",849.2
1962,"Pigeon peas, dry                                                                                                                ",558.6
1963,"Pigeon peas, dry                                                                                                                ",645.2
1964,"Pigeon peas, dry                                                                                                                ",548.3
1965,"Pigeon peas, dry                                                                                                                ",733.1
1966,"Pigeon peas, dry                                                                                                                ",678.0
1967,"Pigeon peas, dry                                                                                                                ",448.1
1968,"Pigeon peas, dry                                                                                                                ",653.4
1969,"Pigeon peas, dry                                                                                                                ",718.0
1970,"Pigeon peas, dry                                                                                                                ",690.3
1971,"Pigeon peas, dry                                                                                                                ",709.3
1972,"Pigeon peas, dry                                                                                                                ",717.5
1973,"Pigeon peas, dry                                                                                                                ",795.2
1974,"Pigeon peas, dry                                                                                                                ",532.1
1975,"Pigeon peas, dry                                                                                                                ",725.3
1976,"Pigeon peas, dry                                                                                                                ",786.0
1977,"Pigeon peas, dry                                                                                                                ",672.4
1978,"Pigeon peas, dry                                                                                                                ",734.8
1979,"Pigeon peas, dry                                                                                                                ",716.3
1980,"Pigeon peas, dry                                                                                                                ",643.4
1981,"Pigeon peas, dry                                                                                                                ",688.7
1982,"Pigeon peas, dry                                                                                                                ",744.5
1983,"Pigeon peas, dry                                                                                                                ",679.7
1984,"Pigeon peas, dry                                                                                                                ",800.5
1985,"Pigeon peas, dry                                                                                                                ",819.4
1986,"Pigeon peas, dry                                                                                                                ",766.7
1987,"Pigeon peas, dry                                                                                                                ",721.7
1988,"Pigeon peas, dry                                                                                                                ",684.7
1989,"Pigeon peas, dry                                                                                                                ",779.0
1990,"Pigeon peas, dry                                                                                                                ",763.0
1991,"Pigeon peas, dry                                                                                                                ",672.6
1992,"Pigeon peas, dry                                                                                                                ",588.1
1993,"Pigeon peas, dry                                                                                                                ",651.8
1994,"Pigeon peas, dry                                                                                                                ",762.2
1995,"Pigeon peas, dry                                                                                                                ",647.0
1996,"Pigeon peas, dry                                                                                                                ",669.9
1997,"Pigeon peas, dry                                                                                                                ",755.9
1998,"Pigeon peas, dry                                                                                                                ",550.7
1999,"Pigeon peas, dry                                                                                                                ",787.4
2000,"Pigeon peas, dry                                                                                                                ",786.1
2001,"Pigeon peas, dry                                                                                                                ",618.5
2002,"Pigeon peas, dry                                                                                                                ",679.1
2003,"Pigeon peas, dry                                                                                                                ",650.7
2004,"Pigeon peas, dry                                                                                                                ",667.4
2005,"Pigeon peas, dry                                                                                                                ",667.0
2006,"Pigeon peas, dry                                                                                                                ",764.7
2007,"Pigeon peas, dry                                                                                                                ",649.7
2008,"Pigeon peas, dry                                                                                                                ",825.0
2009,"Pigeon peas, dry                                                                                                                ",671.6
2010,"Pigeon peas, dry                                                                                                                ",709.8
2011,"Pigeon peas, dry                                                                                                                ",654.9
2012,"Pigeon peas, dry                                                                                                                ",651.1
2013,"Pigeon peas, dry                                                                                                                ",776.4
2014,"Pigeon peas, dry                                                                                                                ",812.0
2015,"Pigeon peas, dry                                                                                                                ",729.1
2016,"Pigeon peas, dry                                                                                                                ",646.0
2017,"Pigeon peas, dry                                                                                                                ",913.0
2018,"Pigeon peas, dry                                                                                                                ",966.5
2019,"Pigeon peas, dry                                                                                                                ",728.7
2020,"Pigeon peas, dry                                                                                                                ",858.6
2021,"Pigeon peas, dry                                                                                                                ",913.5
2022,"Pigeon peas, dry                                                                                                                ",861.2
2023,"Pigeon peas, dry                                                                                                                ",814.0
1961,Pineapples                                                                                                                      ,10903.9
1962,Pineapples                                                                                                                      ,10869.6
1963,Pineapples                                                                                                                      ,10869.6
1964,Pineapples                                                                                                                      ,10929.0
1965,Pineapples                                                                                                                      ,10894.9
1966,Pineapples                                                                                                                      ,10862.6
1967,Pineapples                                                                                                                      ,10876.1
1968,Pineapples                                                                                                                      ,10876.1
1969,Pineapples                                                                                                                      ,10882.4
1970,Pineapples                                                                                                                      ,10888.3
1971,Pineapples                                                                                                                      ,10888.3
1972,Pineapples                                                                                                                      ,10863.5
1973,Pineapples                                                                                                                      ,10869.6
1974,Pineapples                                                                                                                      ,10875.3
1975,Pineapples                                                                                                                      ,10880.8
1976,Pineapples                                                                                                                      ,10886.1
1977,Pineapples                                                                                                                      ,10876.7
1978,Pineapples                                                                                                                      ,11242.5
1979,Pineapples                                                                                                                      ,11383.4
1980,Pineapples                                                                                                                      ,12039.0
1981,Pineapples                                                                                                                      ,12323.0
1982,Pineapples                                                                                                                      ,7702.7
1983,Pineapples                                                                                                                      ,7704.4
1984,Pineapples                                                                                                                      ,13724.9
1985,Pineapples                                                                                                                      ,13724.8
1986,Pineapples                                                                                                                      ,12914.9
1987,Pineapples                                                                                                                      ,12659.3
1988,Pineapples                                                                                                                      ,15817.7
1989,Pineapples                                                                                                                      ,14536.1
1990,Pineapples                                                                                                                      ,16139.4
1991,Pineapples                                                                                                                      ,12066.6
1992,Pineapples                                                                                                                      ,15054.6
1993,Pineapples                                                                                                                      ,16824.8
1994,Pineapples                                                                                                                      ,14428.6
1995,Pineapples                                                                                                                      ,13250.0
1996,Pineapples                                                                                                                      ,14634.1
1997,Pineapples                                                                                                                      ,14498.6
1998,Pineapples                                                                                                                      ,13428.6
1999,Pineapples                                                                                                                      ,13558.0
2000,Pineapples                                                                                                                      ,14571.4
2001,Pineapples                                                                                                                      ,15250.0
2002,Pineapples                                                                                                                      ,14750.0
2003,Pineapples                                                                                                                      ,14555.6
2004,Pineapples                                                                                                                      ,15255.9
2005,Pineapples                                                                                                                      ,15445.7
2006,Pineapples                                                                                                                      ,15322.8
2007,Pineapples                                                                                                                      ,15655.2
2008,Pineapples                                                                                                                      ,15562.5
2009,Pineapples                                                                                                                      ,15964.3
2010,Pineapples                                                                                                                      ,15090.3
2011,Pineapples                                                                                                                      ,15898.9
2012,Pineapples                                                                                                                      ,14705.9
2013,Pineapples                                                                                                                      ,14961.9
2014,Pineapples                                                                                                                      ,15805.8
2015,Pineapples                                                                                                                      ,17103.4
2016,Pineapples                                                                                                                      ,17490.9
2017,Pineapples                                                                                                                      ,16765.8
2018,Pineapples                                                                                                                      ,16563.1
2019,Pineapples                                                                                                                      ,16451.9
2020,Pineapples                                                                                                                      ,16339.6
2021,Pineapples                                                                                                                      ,16971.7
2022,Pineapples                                                                                                                      ,17138.9
2023,Pineapples                                                                                                                      ,16925.9
1961,Plums and sloes                                                                                                                 ,3666.7
1962,Plums and sloes                                                                                                                 ,4062.5
1963,Plums and sloes                                                                                                                 ,4074.1
1964,Plums and sloes                                                                                                                 ,4054.1
1965,Plums and sloes                                                                                                                 ,4000.0
1966,Plums and sloes                                                                                                                 ,4054.1
1967,Plums and sloes                                                                                                                 ,4000.0
1968,Plums and sloes                                                                                                                 ,4047.6
1969,Plums and sloes                                                                                                                 ,4000.0
1970,Plums and sloes                                                                                                                 ,4042.6
1971,Plums and sloes                                                                                                                 ,4000.0
1972,Plums and sloes                                                                                                                 ,4000.0
1973,Plums and sloes                                                                                                                 ,4042.6
1974,Plums and sloes                                                                                                                 ,4000.0
1975,Plums and sloes                                                                                                                 ,4000.0
1976,Plums and sloes                                                                                                                 ,4000.0
1977,Plums and sloes                                                                                                                 ,4032.3
1978,Plums and sloes                                                                                                                 ,4000.0
1979,Plums and sloes                                                                                                                 ,4029.9
1980,Plums and sloes                                                                                                                 ,4000.0
1981,Plums and sloes                                                                                                                 ,4000.0
1982,Plums and sloes                                                                                                                 ,4000.0
1983,Plums and sloes                                                                                                                 ,4000.0
1984,Plums and sloes                                                                                                                 ,3977.3
1985,Plums and sloes                                                                                                                 ,4000.0
1986,Plums and sloes                                                                                                                 ,4000.0
1987,Plums and sloes                                                                                                                 ,2370.8
1988,Plums and sloes                                                                                                                 ,2337.5
1989,Plums and sloes                                                                                                                 ,2408.8
1990,Plums and sloes                                                                                                                 ,4000.0
1991,Plums and sloes                                                                                                                 ,4000.0
1992,Plums and sloes                                                                                                                 ,4000.0
1993,Plums and sloes                                                                                                                 ,3985.5
1994,Plums and sloes                                                                                                                 ,4000.0
1995,Plums and sloes                                                                                                                 ,4114.3
1996,Plums and sloes                                                                                                                 ,4256.2
1997,Plums and sloes                                                                                                                 ,4439.6
1998,Plums and sloes                                                                                                                 ,4853.1
1999,Plums and sloes                                                                                                                 ,5160.2
2000,Plums and sloes                                                                                                                 ,5487.9
2001,Plums and sloes                                                                                                                 ,5872.5
2002,Plums and sloes                                                                                                                 ,6260.3
2003,Plums and sloes                                                                                                                 ,6666.7
2004,Plums and sloes                                                                                                                 ,7000.0
2005,Plums and sloes                                                                                                                 ,7317.5
2006,Plums and sloes                                                                                                                 ,7619.0
2007,Plums and sloes                                                                                                                 ,7743.6
2008,Plums and sloes                                                                                                                 ,7846.1
2009,Plums and sloes                                                                                                                 ,7923.5
2010,Plums and sloes                                                                                                                 ,8000.0
2011,Plums and sloes                                                                                                                 ,8076.9
2012,Plums and sloes                                                                                                                 ,7963.0
2013,Plums and sloes                                                                                                                 ,8000.0
2014,Plums and sloes                                                                                                                 ,8152.2
2015,Plums and sloes                                                                                                                 ,8257.5
2016,Plums and sloes                                                                                                                 ,8326.5
1961,Pomelos and grapefruits                                                                                                         ,15384.6
1962,Pomelos and grapefruits                                                                                                         ,13333.3
1963,Pomelos and grapefruits                                                                                                         ,13333.3
1964,Pomelos and grapefruits                                                                                                         ,13333.3
1965,Pomelos and grapefruits                                                                                                         ,13333.3
1966,Pomelos and grapefruits                                                                                                         ,13333.3
1967,Pomelos and grapefruits                                                                                                         ,13333.3
1968,Pomelos and grapefruits                                                                                                         ,13043.5
1969,Pomelos and grapefruits                                                                                                         ,10869.6
1970,Pomelos and grapefruits                                                                                                         ,13043.5
1971,Pomelos and grapefruits                                                                                                         ,15217.4
1972,Pomelos and grapefruits                                                                                                         ,15000.0
1973,Pomelos and grapefruits                                                                                                         ,12500.0
1974,Pomelos and grapefruits                                                                                                         ,12500.0
1975,Pomelos and grapefruits                                                                                                         ,15000.0
1976,Pomelos and grapefruits                                                                                                         ,10000.0
1977,Pomelos and grapefruits                                                                                                         ,10000.0
1978,Pomelos and grapefruits                                                                                                         ,10000.0
1979,Pomelos and grapefruits                                                                                                         ,10000.0
1980,Pomelos and grapefruits                                                                                                         ,10000.0
1981,Pomelos and grapefruits                                                                                                         ,10000.0
1982,Pomelos and grapefruits                                                                                                         ,10000.0
1983,Pomelos and grapefruits                                                                                                         ,12381.0
1984,Pomelos and grapefruits                                                                                                         ,11904.8
1985,Pomelos and grapefruits                                                                                                         ,9523.8
1986,Pomelos and grapefruits                                                                                                         ,14285.7
1987,Pomelos and grapefruits                                                                                                         ,14000.0
1988,Pomelos and grapefruits                                                                                                         ,13272.7
1989,Pomelos and grapefruits                                                                                                         ,15000.0
1990,Pomelos and grapefruits                                                                                                         ,15094.3
1991,Pomelos and grapefruits                                                                                                         ,14893.6
1992,Pomelos and grapefruits                                                                                                         ,12931.0
1993,Pomelos and grapefruits                                                                                                         ,13978.5
1994,Pomelos and grapefruits                                                                                                         ,15000.0
1995,Pomelos and grapefruits                                                                                                         ,15901.0
1996,Pomelos and grapefruits                                                                                                         ,16935.5
1997,Pomelos and grapefruits                                                                                                         ,17741.5
1998,Pomelos and grapefruits                                                                                                         ,18727.0
1999,Pomelos and grapefruits                                                                                                         ,20000.0
2000,Pomelos and grapefruits                                                                                                         ,20378.3
2001,Pomelos and grapefruits                                                                                                         ,20918.3
2002,Pomelos and grapefruits                                                                                                         ,21538.5
2003,Pomelos and grapefruits                                                                                                         ,21716.9
2004,Pomelos and grapefruits                                                                                                         ,21969.7
2005,Pomelos and grapefruits                                                                                                         ,22089.6
2006,Pomelos and grapefruits                                                                                                         ,21944.4
2007,Pomelos and grapefruits                                                                                                         ,21975.3
2008,Pomelos and grapefruits                                                                                                         ,23529.4
2009,Pomelos and grapefruits                                                                                                         ,24000.0
2010,Pomelos and grapefruits                                                                                                         ,23703.8
2011,Pomelos and grapefruits                                                                                                         ,23614.3
2012,Pomelos and grapefruits                                                                                                         ,23486.4
2013,Pomelos and grapefruits                                                                                                         ,23379.0
2014,Pomelos and grapefruits                                                                                                         ,23359.8
2015,Pomelos and grapefruits                                                                                                         ,23053.1
2016,Pomelos and grapefruits                                                                                                         ,23999.8
1961,Potatoes                                                                                                                        ,7250.7
1962,Potatoes                                                                                                                        ,6704.1
1963,Potatoes                                                                                                                        ,8147.7
1964,Potatoes                                                                                                                        ,6248.2
1965,Potatoes                                                                                                                        ,8403.3
1966,Potatoes                                                                                                                        ,8509.4
1967,Potatoes                                                                                                                        ,7440.3
1968,Potatoes                                                                                                                        ,8441.0
1969,Potatoes                                                                                                                        ,9011.3
1970,Potatoes                                                                                                                        ,7888.3
1971,Potatoes                                                                                                                        ,9975.5
1972,Potatoes                                                                                                                        ,9809.9
1973,Potatoes                                                                                                                        ,8820.8
1974,Potatoes                                                                                                                        ,8945.7
1975,Potatoes                                                                                                                        ,10598.2
1976,Potatoes                                                                                                                        ,11738.4
1977,Potatoes                                                                                                                        ,11573.1
1978,Potatoes                                                                                                                        ,12228.2
1979,Potatoes                                                                                                                        ,12554.8
1980,Potatoes                                                                                                                        ,12152.1
1981,Potatoes                                                                                                                        ,13210.4
1982,Potatoes                                                                                                                        ,12995.7
1983,Potatoes                                                                                                                        ,13545.6
1984,Potatoes                                                                                                                        ,15298.8
1985,Potatoes                                                                                                                        ,14806.4
1986,Potatoes                                                                                                                        ,12363.9
1987,Potatoes                                                                                                                        ,15322.1
1988,Potatoes                                                                                                                        ,15869.4
1989,Potatoes                                                                                                                        ,15929.0
1990,Potatoes                                                                                                                        ,15713.6
1991,Potatoes                                                                                                                        ,16254.0
1992,Potatoes                                                                                                                        ,16029.4
1993,Potatoes                                                                                                                        ,14902.4
1994,Potatoes                                                                                                                        ,16610.1
1995,Potatoes                                                                                                                        ,16272.0
1996,Potatoes                                                                                                                        ,16991.3
1997,Potatoes                                                                                                                        ,19391.3
1998,Potatoes                                                                                                                        ,14602.0
1999,Potatoes                                                                                                                        ,17571.2
2000,Potatoes                                                                                                                        ,18644.3
2001,Potatoes                                                                                                                        ,18362.7
