year, Crop                                                                                                                              , Yield_kg_per_ha, rainfall_mean     , rainfall_std      , rainfall_total, rainfall_deviation
2022, Cabbages                                                                                                                          ,         23227.0, 4.8417415879183965, 11.416030339245731,       54823.04,  30.39448732668021
2023, Cabbages                                                                                                                          ,         23207.9, 4.196803808525507 , 10.050079181186689,       48045.01,  99.49900506638716
2009, Cantaloupes and other melons                                                                                                      ,         21841.6, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, Cantaloupes and other melons                                                                                                      ,         21938.1, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, Cantaloupes and other melons                                                                                                      ,         18731.6, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, Cantaloupes and other melons                                                                                                      ,         20815.8, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, Cantaloupes and other melons                                                                                                      ,         20666.7, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, Cantaloupes and other melons                                                                                                      ,         20567.6, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, Cantaloupes and other melons                                                                                                      ,         20547.6, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, Cantaloupes and other melons                                                                                                      ,         20777.8, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
2017, Cantaloupes and other melons                                                                                                      ,         21940.0, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2018, Cantaloupes and other melons                                                                                                      ,         22796.3, 3.989807157748437 ,  9.067654711355752,       45930.66,  24.063577136900626
2019, Cantaloupes and other melons                                                                                                      ,         22210.5, 4.676201355107714 , 11.032972340729101,       53832.43,  52.7271299513551
2020, Cantaloupes and other melons                                                                                                      ,         22426.2, 4.673185605713763 , 10.597684142419439,       51035.86,  56.78357201721454
2021, Cantaloupes and other melons                                                                                                      ,         19706.7, 4.50342180774749  ,  9.752263667206963,       50222.16, 122.47019279053086
2022, Cantaloupes and other melons                                                                                                      ,         22029.4, 4.8417415879183965, 11.416030339245731,       54823.04,  30.39448732668021
2023, Cantaloupes and other melons                                                                                                      ,         22029.4, 4.196803808525507 , 10.050079181186689,       48045.01,  99.49900506638716
2009, Carrots and turnips                                                                                                               ,         15121.4, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, Carrots and turnips                                                                                                               ,         15171.1, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, Carrots and turnips                                                                                                               ,         15219.9, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, Carrots and turnips                                                                                                               ,         15294.1, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, Carrots and turnips                                                                                                               ,         15294.1, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, Carrots and turnips                                                                                                               ,         15345.9, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, Carrots and turnips                                                                                                               ,         15405.8, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, Carrots and turnips                                                                                                               ,         15349.6, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
2017, Carrots and turnips                                                                                                               ,         15413.2, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2009, "Cashew nuts, in shell                                                                                                           ",           778.3, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, "Cashew nuts, in shell                                                                                                           ",           664.1, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, "Cashew nuts, in shell                                                                                                           ",           707.7, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, "Cashew nuts, in shell                                                                                                           ",           740.6, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, "Cashew nuts, in shell                                                                                                           ",           759.1, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, "Cashew nuts, in shell                                                                                                           ",           744.8, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, "Cashew nuts, in shell                                                                                                           ",           723.3, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, "Cashew nuts, in shell                                                                                                           ",           647.7, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
2017, "Cashew nuts, in shell                                                                                                           ",           761.8, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2018, "Cashew nuts, in shell                                                                                                           ",           769.3, 3.989807157748437 ,  9.067654711355752,       45930.66,  24.063577136900626
2019, "Cashew nuts, in shell                                                                                                           ",           672.4, 4.676201355107714 , 11.032972340729101,       53832.43,  52.7271299513551
2020, "Cashew nuts, in shell                                                                                                           ",           624.9, 4.673185605713763 , 10.597684142419439,       51035.86,  56.78357201721454
2021, "Cashew nuts, in shell                                                                                                           ",           636.8, 4.50342180774749  ,  9.752263667206963,       50222.16, 122.47019279053086
2022, "Cashew nuts, in shell                                                                                                           ",           635.1, 4.8417415879183965, 11.416030339245731,       54823.04,  30.39448732668021
2023, "Cashew nuts, in shell                                                                                                           ",           654.4, 4.196803808525507 , 10.050079181186689,       48045.01,  99.49900506638716
2009, "Cassava, fresh                                                                                                                  ",         34343.3, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, "Cassava, fresh                                                                                                                  ",         34755.5, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, "Cassava, fresh                                                                                                                  ",         36477.0, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, "Cassava, fresh                                                                                                                  ",         38581.8, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, "Cassava, fresh                                                                                                                  ",         34959.4, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, "Cassava, fresh                                                                                                                  ",         35655.5, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, "Cassava, fresh                                                                                                                  ",         21024.0, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, "Cassava, fresh                                                                                                                  ",         21294.1, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
2017, "Cassava, fresh                                                                                                                  ",         20959.8, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2018, "Cassava, fresh                                                                                                                  ",         28612.7, 3.989807157748437 ,  9.067654711355752,       45930.66,  24.063577136900626
2019, "Cassava, fresh                                                                                                                  ",         30527.6, 4.676201355107714 , 11.032972340729101,       53832.43,  52.7271299513551
2020, "Cassava, fresh                                                                                                                  ",         35028.9, 4.673185605713763 , 10.597684142419439,       51035.86,  56.78357201721454
2021, "Cassava, fresh                                                                                                                  ",         37929.0, 4.50342180774749  ,  9.752263667206963,       50222.16, 122.47019279053086
2022, "Cassava, fresh                                                                                                                  ",         36122.1, 4.8417415879183965, 11.416030339245731,       54823.04,  30.39448732668021
2023, "Cassava, fresh                                                                                                                  ",         35771.1, 4.196803808525507 , 10.050079181186689,       48045.01,  99.49900506638716
2009, Castor oil seeds                                                                                                                  ,          1373.0, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, Castor oil seeds                                                                                                                  ,          1526.0, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, Castor oil seeds                                                                                                                  ,          1560.2, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, Castor oil seeds                                                                                                                  ,          1591.6, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, Castor oil seeds                                                                                                                  ,          1624.4, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, Castor oil seeds                                                                                                                  ,          1692.3, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, Castor oil seeds                                                                                                                  ,          1608.8, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, Castor oil seeds                                                                                                                  ,          1326.9, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
2017, Castor oil seeds                                                                                                                  ,          1703.7, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2018, Castor oil seeds                                                                                                                  ,          1902.1, 3.989807157748437 ,  9.067654711355752,       45930.66,  24.063577136900626
2019, Castor oil seeds                                                                                                                  ,          1592.8, 4.676201355107714 , 11.032972340729101,       53832.43,  52.7271299513551
2020, Castor oil seeds                                                                                                                  ,          1760.5, 4.673185605713763 , 10.597684142419439,       51035.86,  56.78357201721454
2021, Castor oil seeds                                                                                                                  ,          1855.7, 4.50342180774749  ,  9.752263667206963,       50222.16, 122.47019279053086
2022, Castor oil seeds                                                                                                                  ,          1948.0, 4.8417415879183965, 11.416030339245731,       54823.04,  30.39448732668021
2023, Castor oil seeds                                                                                                                  ,          1942.3, 4.196803808525507 , 10.050079181186689,       48045.01,  99.49900506638716
2009, Cauliflowers and broccoli                                                                                                         ,         18721.4, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, Cauliflowers and broccoli                                                                                                         ,         18881.9, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, Cauliflowers and broccoli                                                                                                         ,         18279.1, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, Cauliflowers and broccoli                                                                                                         ,         18795.4, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, Cauliflowers and broccoli                                                                                                         ,         19619.4, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, Cauliflowers and broccoli                                                                                                         ,         19760.0, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
